
EVAL: [2.2095681807898373, 0.69364161849710981]
EVAL: [2.2038172242269352, 0.7052023121387283]
EVAL: [1.6592356266465578, 0.77148846960167716]
EVAL: [1.657923489496643, 0.77148846960167716]
EVAL: [1.6565781104489692, 0.76939203354297692]
EVAL: [1.6550809094990824, 0.76729559748427678]
EVAL: [1.6535464732651941, 0.76729559748427678]
EVAL: [1.652605990693754, 0.76939203354297692]
EVAL: [1.6516717879777185, 0.76939203354297692]
EVAL: [1.650491599266884, 0.76519916142557654]
EVAL: [1.6494604139208044, 0.76519916142557654]
EVAL: [1.6487556273582347, 0.76519916142557654]
EVAL: [1.6479528110232242, 0.76519916142557654]
EVAL: [1.6474440845053651, 0.76519916142557654]
EVAL: [1.6467548416345625, 0.76519916142557654]
EVAL: [1.6460453796686616, 0.76519916142557654]
EVAL: [1.6454140680141169, 0.76519916142557654]
EVAL: [1.6447882212432925, 0.76519916142557654]
EVAL: [1.6441719087164857, 0.76519916142557654]
EVAL: [1.6439272277760055, 0.76519916142557654]
EVAL: [1.6436013908006359, 0.76519916142557654]
EVAL: [1.6432957929135368, 0.76519916142557654]
EVAL: [1.6428137815223549, 0.76519916142557654]
EVAL: [1.6423970830765411, 0.76519916142557654]
EVAL: [1.6420473597584531, 0.76519916142557654]
EVAL: [1.641749111861303, 0.76519916142557654]
EVAL: [1.6414380548385203, 0.76519916142557654]
EVAL: [1.6411067247390747, 0.76519916142557654]
EVAL: [1.6409547773797057, 0.76519916142557654]
EVAL: [1.640708585205318, 0.76729559748427678]
EVAL: [1.6405306724632311, 0.76729559748427678]
EVAL: [1.6402432221286702, 0.76729559748427678]
EVAL: [1.6400316343867305, 0.76729559748427678]
EVAL: [1.6398038304326918, 0.76729559748427678]
EVAL: [1.6394831257046394, 0.76729559748427678]
EVAL: [1.6392535638509307, 0.76729559748427678]
EVAL: [1.6389019094423178, 0.76729559748427678]
EVAL: [1.6386837027107894, 0.76729559748427678]
EVAL: [1.6385163990956433, 0.76729559748427678]
EVAL: [1.6384268056921489, 0.76729559748427678]
EVAL: [1.6382073256454628, 0.76729559748427678]
EVAL: [1.6380794403188135, 0.76729559748427678]
EVAL: [1.6378403739609309, 0.76729559748427678]
EVAL: [1.6376700786174718, 0.76729559748427678]
EVAL: [1.63753843032589, 0.76729559748427678]
EVAL: [1.6374796693929836, 0.76729559748427678]
EVAL: [1.6372947347988873, 0.76729559748427678]
EVAL: [1.637104689450134, 0.76729559748427678]
EVAL: [1.636964326634597, 0.76729559748427678]
EVAL: [1.6367763578266967, 0.76729559748427678]
EVAL: [1.6254324953011248, 0.77568134171907754]
EVAL: [1.6006427703413573, 0.76729559748427678]
EVAL: [1.5848327415294368, 0.76729559748427678]
EVAL: [1.5685460465519052, 0.76973684210526316]
EVAL: [1.4706418722490722, 0.78227848116355603]
EVAL: [1.4627349588019036, 0.77839335180055402]
EVAL: [1.4147046253400266, 0.78549848960605628]
EVAL: [1.4833014449466664, 0.77031802141203054]
EVAL: [1.4760632510741272, 0.76678445250743688]
EVAL: [1.4437288810423321, 0.77031802141203054]
EVAL: [1.4223316514028677, 0.76325088360284332]
EVAL: [1.3799859656040745, 0.7738515903166242]
EVAL: [1.3704347075506149, 0.77031802141203054]
EVAL: [1.3597880587139737, 0.77031802141203054]
EVAL: [1.3522343237492727, 0.76678445250743688]
EVAL: [1.3511975390751034, 0.76678445250743688]
EVAL: [1.3416047300551046, 0.77031802120141346]
EVAL: [1.3351126153140522, 0.77738515901060068]
EVAL: [1.3303566671934228, 0.77738515901060068]
EVAL: [1.3255674171363507, 0.77738515901060068]
EVAL: [1.321799409894977, 0.77385159010600701]
EVAL: [1.3206551150803851, 0.77738515901060068]
EVAL: [1.3175103455887245, 0.77738515901060068]
EVAL: [1.3136359470050663, 0.77738515901060068]
EVAL: [1.3100439583876107, 0.77738515901060068]
EVAL: [1.3094973233479072, 0.77385159010600701]
EVAL: [1.3072589831722921, 0.77738515901060068]
EVAL: [1.3047983640074308, 0.77738515901060068]
EVAL: [1.3027507540615204, 0.77738515901060068]
